"LIF_ID";"LIF_NAME";"LFK_NR";"VLS_CODE";"VLS_NAME";"VLS_VON";"VLS_BIS";"WST_EAN13";"WST_BSTNR";"WST_NAME";"WST_NAME2";"WST_PAKE";"PACK_A";"WST_PAKI";"WST_PAKE1";"WST_INH_N";"GEH_CODE";"WGR_NAME";"WUG_NAME";"LRZ_CODE";"WST_KINF";"WST_0CA";"WST_0ABOK";"WST_ILN";"WST_ARTNR";"WST_ANZ";"WRG_CODE";"PAT_CODE";"G_PRS";"E_PRS";"KIP";"MSK_ID";"AW";"AC";"AE";"AF";"AP";"AY";"AM";"AN";"BC";"BM";"AS";"AU";"NL";"UM";"UW";"NR";"GB";"GO";"GS";"GK";"SA";"SH";"SW";"SC";"SP";"SR";"ST";"SM";"SQ";"NON";"CDS";"CPP";"CAO";"CFE";"TWS";"BLD";"WXD";"CPT";"CSW";"CZS";"CSP";"CLE";"CMP";"PWN";"CNT";"CNP";"CQE";"CCF";"TWR";"ATM";"CAP";"LIQ";"LIB";"LSS";"CPH";"STN";"ADH";"FZG";"FIZ";"LCS";"NAN";"GCAL";"ZE";"ZF";"ZK";"KMD";"GKB";"GMKO";"Zutaten";"ULD";"FZN";"DIFBITS"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04015613638249";"7390470001";"BARTSCHER 1000 KORB- FILTER CONT100/ARM C";"";"Stück";"";"1 x 1 Stück";"Stück";"";" ";"GASTROGERAETE";"ZUBEHOER";"BARTSCHER GMBH";"";"0";"0";"4015613000008";"190014";"1";"EUR";" ";"21.189";"21.189";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04330752067225";"7810730001";"BRENNPASTE 220G HANDELSHOF";"";"Stück";"";"1 x 1 Stück";"Stück";"";" ";"GASTROBEDARF";"BRENNPASTE/LAMPENOEL";"GOTTFRIED SCHMALFUSS";"";"0";"0";"4009864000009";"470527";"1";"EUR";" ";"1.261";"1.261";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04006402025012";"1109500001";"CA.1,2KG BAVARIA BLU 70%";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"KAESE";"BLAUSCHIMMEL";"BERGADER PRIV.KAES.";"";"0";"1";"4006402000002";"01722 /BERGAD";"1";"EUR";" ";"14.829";"14.829";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"442";"13.7";"43";"0.1";"0.1";"";"1.6";"Zutaten: pasteurisierte MILCH, Kochsalz, Milchsäurekulturen, Labextrakt, Calciumchlorid (technologischer Hilfsstoff), Edelschimmelkulturen";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04008432041109";"1016430001";"CA.2,5KG EMMENTALER GOLDSTEIG";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"KAESE";"NATURKAESE";"GOLDSTEIG KAESEREIEN";"";"0";"1";"4008432000007";"4110";"1";"EUR";" ";"9.99";"9.99";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"388";"30.5";"29.5";"0.1";"0.1";"";"0.8";"Zutaten: MILCH, Salz, Labaustauschstoff, Milchsäurebakterien";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04036300055897";"1025840001";"CA.3KG BURLANDER 45% MILRAM NUSSIG";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"KAESE";"NATURKAESE";"DMK DEUTSCHES MILCHK";"";"0";"1";"4036300000002";"5589";"1";"EUR";" ";"8.89";"8.89";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"346";"25";"27";"0.1";"0.1";"";"1.3";"Zutaten: pasteurisierte KUHMILCH, Speisesalz, Säuerungskulturen, mikrobielles Lab, Farbstoff: Carotin, Konservierungsstoff: Natamycin (nur zur Oberflächenbehandlung)";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04036300055873";"1079590001";"CA.3KG GOUDA 45% MILRAM";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"KAESE";"NATURKAESE";"DMK DEUTSCHES MILCHK";"";"0";"1";"4036300000002";"5587";"1";"EUR";" ";"5.29";"5.29";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"348";"25";"27";"0.1";"0.1";"";"1.8";"Zutaten: pasteurisierte KUHMILCH, Speisesalz, Säuerungskulturen, mkirobielles Lab.";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04000504209547";"1090800001";"CA.3KG ILLERTALER 45% ALLGAEUER";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"KAESE";"NATURKAESE";"KAESEREI CHAMPIGNON";"";"0";"1";"4000504000007";"00437 /CHAMP.";"1";"EUR";" ";"13.027";"13.027";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"373";"28";"29";"0.1";"0.1";"";"1";"Zutaten: KUHMILCH, Kochsalz, Labaustauschstoff, Milchsäurebakterien, Reifungskulturen.";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04036300055842";"1079630001";"CA.3KG TILSITER 45% MILRAM";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"KAESE";"NATURKAESE";"DMK DEUTSCHES MILCHK";"";"0";"1";"4036300000002";"5584";"1";"EUR";" ";"6.99";"6.99";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"339";"25";"26";"0.1";"0.1";"";"1.8";"Zutaten: pasteurisierte KuhMILCH, Speisesalz, Verarbeitungshilfstoff: Calciumchlorid (E509), Säuerungskulturen, mikrobielles Lab.";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"02010105700017";"1010570001";"ENTENBRUST GERAEUCHERT";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"FRISCHGEFLUEGEL GEWICHTSW.";"GEFLUEGEL FRISCH";"NIGGEMANN FOOD FRISC";"Bitte beachten Sie, dass bei saisonalen/regionalen Fleischartikeln die Verfügbarkeit nicht immer gewährleistet sein kann.";"0";"1";"4009164000006";"3971";"1";"EUR";" ";"33.909";"33.909";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"3"
"46501";"Handelshof";"13077062";"KL";"Kundenlistung";"09.04.2024";"01.01.2050";"04002834040487";"1580920001";"GUTMEISTERS SALAMI 1A CA.1,5KG     SCHU";"";"Kilo";"";"1 x 1 Kilo";"Kilo";"";" ";"WURST UND SCHINKEN";"ROH-AUFSCHNITT UEBER 250G.S";"ZUR MUEHLEN GRUPPE";"";"0";"1";"4399901817869";"K80378-81";"1";"EUR";" ";"16.737";"16.737";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"343";"19.5";"29";"1";"1";"";"3.5";"Zutaten: Schweinefleisch, jodiertes Speisesalz (Speisesalz, Kaliumjodat), Gewürze, Gewürzextrakte, Glukosesirup, Dextrose, Saccharose, Antioxidationsmittel: Ascorbinsäure und Natriumascorbat, färbendes Lebensmittel: Rote Beete Pulver, Konservierungsstoff: Natriumnitrit, Reifekultur, Buchenholzrauch. 100g Salami werden aus 120g Schweinefleisch hergestellt. Kann Spuren von SENF und SELLERIE enthalten.";"";"";"3"
